Population,Individual,Song,NMDS1,NMDS2,X
Copeland_F,C06_F_A,"C06_20260527_000000_2_F,5",-2.24817443093304,0.190896313388364,NA
Copeland_F,C06_F_A,"C06_20260529_000000_1_F,1",-1.88594085648905,0.76411950755287,NA
Copeland_F,C06_F_A,"C06_20260529_000000_1_F,2",-1.69582464595538,1.34178987102165,NA
Copeland_F,C06_F_A,"C06_20260529_000000_1_F,3",-1.70441235780558,1.47864771130018,NA
Copeland_F,C06_F_A,"C06_20260529_000000_1_F,4",-2.86451735636876,1.28440748210828,NA
Copeland_F,C06_F_A,"C06_20260529_000000_1_F,5",-2.5804797230651,-0.0806522093635551,NA
Copeland_M,C06_M_A,"C06_20260601_000000_10_M,1",1.68008414582228,-1.95655586577772,NA
Copeland_M,C06_M_A,"C06_20260601_000000_10_M,2",1.04342115900006,-1.18652167253729,NA
Copeland_M,C06_M_A,"C06_20260601_000000_10_M,3",0.0968593328245961,-0.966677623959249,NA
Copeland_M,C06_M_A,"C06_20260601_000000_10_M,4",1.10743181745906,-0.333893849119997,NA
Copeland_M,C06_M_A,"C06_20260601_000000_10_M,5",0.659745716057611,-0.937152400286573,NA
Copeland_M,C06_M_A,"C06_20260601_000000_11_M,1",0.316816293520182,-0.799489997122923,NA
Copeland_M,C06_M_A,"C06_20260601_000000_11_M,2",0.916623589670125,-0.112227213110336,NA
Copeland_M,C06_M_A,"C06_20260601_000000_11_M,3",0.603370420143733,-0.356072635627465,NA
Copeland_M,C06_M_A,"C06_20260601_000000_11_M,4",-0.0654726636709288,-0.754949476110511,NA
Copeland_M,C06_M_A,"C06_20260531_000000_1_M,1",0.892114156552815,0.503136158241927,NA
Copeland_M,C06_M_A,"C06_20260531_000000_1_M,2",0.31105625896434,-0.0266502477181148,NA
Copeland_M,C06_M_A,"C06_20260601_000000_1_M,1",-0.181994225435521,-1.48521415581581,NA
Copeland_M,C06_M_A,"C06_20260601_000000_1_M,2",-0.113213023298124,-1.55586754155774,NA
Copeland_M,C06_M_A,"C06_20260601_000000_1_M,3",-0.202298340459301,-1.51116109067884,NA
Copeland_M,C06_M_A,"C06_20260602_000000_2_M,1",0.456717586093143,-1.28326276851978,NA
Copeland_M,C06_M_A,"C06_20260602_000000_2_M,2",1.09048592253094,-0.960311344491267,NA
Copeland_M,C06_M_A,"C06_20260602_000000_3_M,1",0.444309851074078,-1.06904664959217,NA
Copeland_M,C06_M_A,"C06_20260602_000000_3_M,2",0.270160767233035,-1.12301037923533,NA
Copeland_M,C06_M_A,"C06_20260602_000000_1_M,1",0.932037939123997,-1.02266741892774,NA
Copeland_M,C06_M_A,"C06_20260602_000000_1_M,2",0.264591728485538,-0.800962608113724,NA
Copeland_M,C06_M_A,"C06_20260602_000000_5_M,1",0.442834226549266,-0.866905854109234,NA
Copeland_M,C06_M_A,"C06_20260603_010000_5_M,1",0.329924865619116,-0.745733932860756,NA
Copeland_M,C06_M_A,"C06_20260603_010000_5_M,2",0.587156714538956,-0.768224844520958,NA
Copeland_M,C06_M_A,"C06_20260602_000000_4_M,1",0.0572898467102142,-0.799337646518837,NA
Copeland_M,C07_M_A,"C07_20260529_000000_1_M,1",1.74435294299231,0.888089711429454,NA
Copeland_M,C07_M_A,"C07_20260529_000000_2_M,1",2.23486526442752,0.515801946510166,NA
Copeland_M,C07_M_A,"C07_20260529_000000_3_M,1",1.71937025181318,1.4513802670364,NA
Copeland_M,C07_M_A,"C07_20260601_000000_2_M,1",2.71672342921177,1.25372915418846,NA
Copeland_M,C07_M_A,"C07_20260601_000000_3_M,1",2.07446964405646,1.21038909208293,NA
Copeland_M,C07_M_A,"C07_20260601_000000_4_M,1",1.82711847028145,0.659921362193185,NA
Copeland_M,C07_M_A,"C07_20260601_000000_6_M,1",1.58898865109579,0.244065473491566,NA
Copeland_M,C07_M_A,"C07_20260601_000000_7_M,1",1.38138841785941,0.0215742511651622,NA
Copeland_M,C07_M_A,"C07_20260601_000000_8_M,1",1.53886314651598,-0.452748959189818,NA
Copeland_M,C07_M_A,"C07_20260602_000000_10_M,1",2.48625891991427,0.689071559945412,NA
Copeland_M,C07_M_A,"C07_20260602_000000_11_M,1",3.33465419306783,1.59216690681565,NA
Copeland_M,C07_M_A,"C07_20260602_000000_9_M,1",1.08914074249252,-0.304347897097629,NA
Copeland_M,C07_M_A,"C07_20260602_010000_12_M,1",4.06197342455055,0.99885250775283,NA
Copeland_M,C07_M_A,"C07_20260602_010000_13_M,1",2.78397827063705,0.067324204397857,NA
Copeland_M,C07_M_A,"C07_20260602_010000_14_M,1",2.45968476582574,0.875718879185561,NA
Copeland_M,C07_M_A,"C07_20260602_010000_15_M,1",1.85622265931547,0.795999835246985,NA
Copeland_M,C07_M_A,"C07_20260602_010000_16_M,1",1.95207488177701,0.501379465324634,NA
Copeland_M,C07_M_A,"C07_20260601_000000_5_M,1",2.76051464177749,-0.217240427396742,NA
Lundy_F,L21_F_A,"L21_20260407_221500_4_F3,1",-0.0419699662047885,-0.622193356114626,NA
Lundy_F,L21_F_A,"L21_20260407_221500_4_F3,2",0.877363751719684,-0.34524812127452,NA
Lundy_F,L21_F_A,"L21_20260407_221500_4_F3,3",0.149290750825189,-2.20387304459256,NA
Lundy_F,L21_F_A,"L21_20260407_221500_5_F,1",-0.945441652394419,0.122029030922926,NA
Lundy_F,L21_F_A,"L21_20260407_221500_5_F,2",-0.263551296697072,-0.758620187115257,NA
Lundy_F,L21_F_A,"L21_20260405_210000_13_F,1",-1.62682084577268,-0.897418898487345,NA
Lundy_F,L21_F_A,"L21_20260405_210000_13_F,2",-1.32661318245018,-0.703869509300221,NA
Lundy_F,L21_F_A,"L21_20260405_210000_13_F,3",-0.358797678377611,-1.03855136885524,NA
Lundy_F,L21_F_A,"L21_20260405_210000_27_F,1",-1.33124779592502,-0.706848377084447,NA
Lundy_F,L21_F_A,"L21_20260405_210000_27_F,2",-0.318052255851171,-2.00413093161139,NA
Lundy_F,L21_F_A,"L21_20260405_210000_19_F,1",-1.88637144501998,-0.0578423079053079,NA
Lundy_F,L21_F_A,"L21_20260405_210000_19_F,2",-0.377365657665031,-1.15432837581337,NA
Lundy_F,L21_F_A,"L21_20260405_210000_19_F,3",-0.173705858708054,-1.93355130254337,NA
Lundy_F,L21_F_A,"L21_20260405_210000_23_F,1",-1.39658517225717,-0.816346626203407,NA
Lundy_F,L21_F_A,"L21_20260405_210000_23_F,2",-0.917161739713457,-1.75203384438526,NA
Lundy_F,L21_F_A,"L21_20260405_210000_16_F,1",-1.13137727249679,-0.825919950215612,NA
Lundy_F,L21_F_A,"L21_20260405_210000_16_F,2",-0.665517867958768,-1.65443308005998,NA
Lundy_F,L21_F_A,"L21_20260405_210000_17_F,1",-0.193233239063459,-1.70919564351805,NA
Lundy_F,L21_F_A,"L21_20260405_210000_24_F,1",-0.885415994449422,-0.877509120669678,NA
Lundy_F,L21_F_A,"L21_20260405_210000_24_F,2",-0.913268740217773,-1.6882148259733,NA
Lundy_M,L21_M_A,"L21_20260405_210000_8_M,1",0.386530566794748,1.74002863457485,NA
Lundy_M,L21_M_A,"L21_20260405_210000_8_M,2",0.502219734811761,0.783801398255386,NA
Lundy_M,L21_M_A,"L21_20260405_210000_8_M,3",0.681186327188521,0.390346975799791,NA
Lundy_M,L21_M_A,"L21_20260405_210000_10_M,1",0.539128345042707,1.46224217026235,NA
Lundy_M,L21_M_A,"L21_20260405_210000_10_M,2",0.77318796721659,1.39925067119016,NA
Lundy_M,L21_M_A,"L21_20260405_210000_10_M,3",0.569425570058918,1.49824931966563,NA
Lundy_M,L21_M_A,"L21_20260405_210000_5_M,1",1.46143780615204,1.23673172809698,NA
Lundy_M,L21_M_A,"L21_20260405_210000_5_M,2",0.821656235448088,0.600799500916971,NA
Lundy_M,L21_M_A,"L21_20260405_210000_11_M,1",0.215112731590978,1.36858008264715,NA
Lundy_M,L21_M_A,"L21_20260405_210000_11_M,2",0.558255107790331,1.40803215894555,NA
Lundy_M,L21_M_A,"L21_20260405_210000_11_M,3",0.350465446966322,0.804554300356064,NA
Lundy_M,L21_M_A,"L21_20260405_210000_6_M,1",0.802565318473814,1.07253704980751,NA
Lundy_M,L21_M_A,"L21_20260405_210000_6_M,2",0.94691639949673,0.61231690623609,NA
Lundy_M,L21_M_A,"L21_20260405_210000_12_M,1",-0.248538196670062,0.93415498585704,NA
Lundy_M,L21_M_A,"L21_20260405_210000_12_M,2",0.67358679019396,0.688666851857021,NA
Lundy_M,L21_M_A,"L21_20260405_210000_4_M,1",1.22237557421594,0.915897091320333,NA
Lundy_M,L21_M_A,"L21_20260405_210000_4_M,2",0.745378577699191,0.845957926119015,NA
Lundy_M,L21_M_A,"L21_20260405_210000_1_M,1",0.116510654386858,0.757367972491526,NA
Lundy_M,L21_M_A,"L21_20260405_210000_2_M,1",0.755731381711211,0.97928362278685,NA
Lundy_M,L21_M_A,"L21_20260405_210000_3_M,1",1.23859615498879,1.05354101790483,NA
Lundy_M,L21_M_A,"L21_20260405_210000_9_M,1",0.69737957239305,1.05562621210786,NA
Lundy_M,L22_M_A,"L22_20260405_224000_2_MA,1",2.98773452375446,0.235699497604175,NA
Lundy_M,L22_M_A,"L22_20260405_224000_2_MA,2",3.26556509788755,0.183964875422683,NA
Lundy_M,L22_M_A,"L22_20260405_224000_2_MA,3",3.94335178777645,0.161128508985488,NA
Lundy_M,L22_M_A,"L22_20260405_224000_2_MA,4",4.79632677390286,-0.272430609214245,NA
Lundy_M,L22_M_A,"L22_20260405_224000_2_MA,5",4.90039329857305,-0.936903207055344,NA
Lundy_M,L22_M_A,"L22_20260405_224000_2_MA,6",4.0939733054092,-1.99779184507135,NA
Lundy_M,L22_M_A,"L22_20260405_224000_4_MA,1",3.11510965290489,0.206062756701984,NA
Lundy_M,L22_M_A,"L22_20260405_224000_4_MA,2",3.10813026334844,-0.349160616401915,NA
Lundy_M,L22_M_A,"L22_20260405_224000_4_MA,3",2.18892506998397,-0.593170739358812,NA
Lundy_M,L22_M_A,"L22_20260405_224000_4_MA,4",3.96288771855256,-0.89971539071558,NA
Lundy_M,L22_M_A,"L22_20260405_224000_1_MA,1",2.45984482188882,-0.213497915271349,NA
Lundy_M,L22_M_A,"L22_20260405_224000_1_MA,2",1.70053361545613,-0.188098108564456,NA
Lundy_M,L22_M_A,"L22_20260405_224000_1_MA,3",3.34853398735082,-0.0498290219080938,NA
Lundy_M,L22_M_A,"L22_20260405_224000_1_MA,4",4.21354082795096,-1.06764986892702,NA
Lundy_M,L22_M_A,"L22_20260405_224000_6_MA,1",2.57176617738447,-0.0205122293632677,NA
Lundy_M,L22_M_A,"L22_20260405_224000_6_MA,2",2.89936727381988,0.0473263845098136,NA
Lundy_M,L22_M_A,"L22_20260405_224000_6_MA,3",3.31839895900345,0.031768183717817,NA
Lundy_M,L22_M_A,"L22_20260405_224000_6_MA,4",3.48738520694882,-0.940800509637686,NA
Lundy_M,L22_M_A,"L22_20260405_224000_3_MA,1",2.17654900879948,0.0212921941747274,NA
Lundy_M,L22_M_A,"L22_20260405_224000_3_MA,2",2.61550299611534,0.200379669355266,NA
Lundy_M,L22_M_A,"L22_20260405_224000_3_MA,3",3.45483846686934,0.463090330924039,NA
Lundy_M,L22_M_A,"L22_20260405_224000_3_MA,4",3.61310494982635,-0.787093039628625,NA
Lundy_F,L23_F_A,"L23_20260405_212500_4_FA,1",-2.35519217240446,-0.574401632438369,NA
Lundy_F,L23_F_A,"L23_20260405_212500_4_FA,2",-2.26637050868401,-0.312070101795091,NA
Lundy_F,L23_F_A,"L23_20260405_212500_4_FA,3",-2.03099644072014,-0.491747355831295,NA
Lundy_F,L23_F_A,"L23_20260405_212500_4_FA,4",-1.88158460021732,-1.4850673405841,NA
Lundy_F,L23_F_A,"L23_20260405_212500_7_FA,1",-2.17841229289846,-0.505238296128175,NA
Lundy_F,L23_F_A,"L23_20260405_212500_7_FA,2",-1.91086098356193,-1.20742593378451,NA
Lundy_F,L23_F_A,"L23_20260405_212500_6_FA,1",-2.25164514144184,-0.826529275564611,NA
Lundy_F,L23_F_A,"L23_20260405_212500_6_FA,2",-1.92512554587217,-1.49306722269043,NA
Lundy_F,L23_F_A,"L23_20260405_215000_7_FA,1",-2.21217442588088,-0.50987234080423,NA
Lundy_F,L23_F_A,"L23_20260405_215000_7_FA,2",-1.94993870850978,-0.463110155421941,NA
Lundy_F,L23_F_A,"L23_20260405_215000_7_FA,3",-1.46604367622799,-0.508833702867879,NA
Lundy_F,L23_F_A,"L23_20260405_215000_7_FA,4",-0.0843101482783166,-0.607894244587236,NA
Lundy_F,L23_F_A,"L23_20260405_215000_7_FA,5",-1.03945088283744,-1.68335574526338,NA
Lundy_F,L23_F_A,"L23_20260405_215000_5_FA,1",-2.20037149241382,-0.448817871215618,NA
Lundy_F,L23_F_A,"L23_20260405_215000_5_FA,2",-1.94595396347389,-0.298870265770318,NA
Lundy_F,L23_F_A,"L23_20260405_215000_5_FA,3",-1.83157834317924,-0.286872690680777,NA
Lundy_F,L23_F_A,"L23_20260405_215000_5_FA,4",-1.3262583896755,-1.17713914158625,NA
Lundy_F,L23_F_A,"L23_20260405_215000_6_FA,1",-1.87765527646339,-0.502696883786922,NA
Lundy_F,L23_F_A,"L23_20260405_215000_6_FA,2",-1.66931615612336,-0.476484928722088,NA
Lundy_F,L23_F_A,"L23_20260405_215000_6_FA,3",-1.45725793556416,-0.508135235049834,NA
Lundy_F,L23_F_A,"L23_20260405_215000_6_FA,4",-1.18825001676573,-1.41411646250556,NA
Lundy_F,L23_F_A,"L23_20260405_215000_2_FA,1",-2.14418213389622,-1.13463397003182,NA
Lundy_F,L23_F_A,"L23_20260405_215000_2_FA,2",-1.83885166674325,-2.06139023881247,NA
Lundy_M,L23_M_A,"L23_20260404_221500_2_MA,1",-0.764725640895856,0.696253428477986,NA
Lundy_M,L23_M_A,"L23_20260404_221500_2_MA,2",-0.907215031323763,-0.249776900141403,NA
Lundy_M,L23_M_A,"L23_20260404_233000_4_MA,1",-0.89730965440185,0.580010234695653,NA
Lundy_M,L23_M_A,"L23_20260404_233000_4_MA,2",-1.05845534993849,0.406538064908638,NA
